[Header]
Application Name,LabSolutions
10.85833,-2706
10.86667,-3013
10.87500,-3319
10.88333,-3619
10.89167,-3906
10.90000,-4174
10.90833,-4416
10.91667,-4629
10.92500,-4806
10.93333,-4946
10.94167,-5045
10.95000,-5102
10.95833,-5118
10.96667,-5092
10.97500,-5028
10.98333,-4926
10.99167,-4792
11.00000,-4628
11.00833,-4439
11.01667,-4230
11.02500,-4006
11.03333,-3771
11.04167,-3531
11.05000,-3288
11.05833,-3048
11.06667,-2813
11.07500,-2588
11.08333,-2374
11.09167,-2173
11.10000,-1987
11.10833,-1816
11.11667,-1662
11.12500,-1524
11.13333,-1403
11.14167,-1297
11.15000,-1205
11.15833,-1127
11.16667,-1063
11.17500,-1010
11.18333,-967
11.19167,-933
11.20000,-908
11.20833,-888
11.21667,-874
11.22500,-865
11.23333,-860
11.24167,-857
11.25000,-856
11.25833,-858
11.26667,-860
11.27500,-864
11.28333,-867
11.29167,-870
11.30000,-874
11.30833,-878
11.31667,-881
11.32500,-884
11.33333,-887
11.34167,-889
11.35000,-891
11.35833,-892
11.36667,-892
11.37500,-892
11.38333,-892
11.39167,-892
11.40000,-892
11.40833,-891
11.41667,-891
11.42500,-890
11.43333,-890
11.44167,-889
11.45000,-888
11.45833,-887
11.46667,-886
11.47500,-885
11.48333,-884
11.49167,-883
11.50000,-882
11.50833,-882
11.51667,-882
11.52500,-881
11.53333,-880
11.54167,-880
11.55000,-880
11.55833,-879
11.56667,-879
11.57500,-879
11.58333,-879
11.59167,-880
11.60000,-880
11.60833,-880
11.61667,-880
11.62500,-880
11.63333,-880
11.64167,-880
11.65000,-880
11.65833,-880
11.66667,-881
11.67500,-881
11.68333,-882
11.69167,-883
11.70000,-884
11.70833,-885
11.71667,-886
11.72500,-886
11.73333,-887
11.74167,-888
11.75000,-889
11.75833,-889
11.76667,-890
11.77500,-891
11.78333,-892
11.79167,-893
11.80000,-894
11.80833,-895
11.81667,-896
11.82500,-896
11.83333,-897
11.84167,-898
11.85000,-900
11.85833,-901
11.86667,-902
11.87500,-904
11.88333,-905
11.89167,-906
11.90000,-907
11.90833,-908
11.91667,-909
11.92500,-910
11.93333,-911
11.94167,-912
11.95000,-913
11.95833,-913
11.96667,-914
11.97500,-915
11.98333,-916
11.99167,-917
12.00000,-918
12.00833,-918
12.01667,-919
12.02500,-920
12.03333,-920
12.04167,-920
12.05000,-921
12.05833,-921
12.06667,-922
12.07500,-922
12.08333,-923
12.09167,-923
12.10000,-923
12.10833,-924
12.11667,-924
12.12500,-924
12.13333,-924
12.14167,-924
12.15000,-925
12.15833,-925
12.16667,-925
12.17500,-925
12.18333,-925
12.19167,-925
12.20000,-925
12.20833,-925
12.21667,-924
12.22500,-924
12.23333,-924
12.24167,-924
12.25000,-925
12.25833,-925
