well,od_600nm,time_s,temp_C,instrument,medium,sample,replicate
B2,0.0879,56156.168,37.1,Tecan Spark,water,blank,0
B2,0.0879,56551.557,37.1,Tecan Spark,water,blank,0
B2,0.0881,56946.972,37.1,Tecan Spark,water,blank,0
B2,0.0881,57342.45,37.0,Tecan Spark,water,blank,0
B2,0.0879,57737.922999999995,37.1,Tecan Spark,water,blank,0
B2,0.08800000000000001,58133.337999999996,37.1,Tecan Spark,water,blank,0
B2,0.0879,58528.852999999996,37.1,Tecan Spark,water,blank,0
B2,0.0881,5536.736999999999,37.0,Tecan Spark,water,blank,0
B2,0.0878,58924.325,37.1,Tecan Spark,water,blank,0
B2,0.0878,59319.734000000004,37.1,Tecan Spark,water,blank,0
B2,0.08800000000000001,59715.185,37.0,Tecan Spark,water,blank,0
B2,0.0879,60110.649000000005,37.1,Tecan Spark,water,blank,0
B2,0.0879,60506.054000000004,37.1,Tecan Spark,water,blank,0
B2,0.08800000000000001,60901.518,37.1,Tecan Spark,water,blank,0
B2,0.08800000000000001,61297.001,37.1,Tecan Spark,water,blank,0
B2,0.08800000000000001,61692.374,37.1,Tecan Spark,water,blank,0
