slope,intercept,sigma,buffer_base,compound,area_param
0.00732916,-0.000748319,0.00380702,DM,acetate,rel_area_phosphate
0.00730822,-0.00220001,0.00324402,DM,acetate,rel_area_phosphate
0.00738713,7.39442e-05,0.00447691,DM,acetate,rel_area_phosphate
0.00742915,-0.00152871,0.00394993,DM,acetate,rel_area_phosphate
0.00755965,-0.00262985,0.00438007,DM,acetate,rel_area_phosphate
0.00747957,-0.00129262,0.00405637,DM,acetate,rel_area_phosphate
0.00739289,-0.00159994,0.00491991,DM,acetate,rel_area_phosphate
0.00746896,-0.00319633,0.00386971,DM,acetate,rel_area_phosphate
0.00723461,0.00124676,0.00406505,DM,acetate,rel_area_phosphate
0.00736293,-0.00269627,0.00414472,DM,acetate,rel_area_phosphate
0.00729489,0.000478542,0.00471215,DM,acetate,rel_area_phosphate
0.00751294,-0.00628604,0.00631159,DM,acetate,rel_area_phosphate
0.00745479,-0.00379347,0.00656021,DM,acetate,rel_area_phosphate
0.00700944,-0.000171518,0.0048481,DM,acetate,rel_area_phosphate
0.0076226,-0.0013957,0.00470705,DM,acetate,rel_area_phosphate
0.0076226,-0.0013957,0.00470705,DM,acetate,rel_area_phosphate
0.00753256,-0.00112038,0.00838174,DM,acetate,rel_area_phosphate
0.00757055,-0.0032818,0.00421308,DM,acetate,rel_area_phosphate
0.00721196,-0.000896668,0.00591143,DM,acetate,rel_area_phosphate
0.00717354,0.00137781,0.00564475,DM,acetate,rel_area_phosphate
0.00700512,0.00329173,0.00508809,DM,acetate,rel_area_phosphate
0.00718573,0.00193447,0.00400622,DM,acetate,rel_area_phosphate
0.00746921,-0.000513013,0.00789951,DM,acetate,rel_area_phosphate
0.00771306,-0.00412499,0.00594619,DM,acetate,rel_area_phosphate
0.0071132,0.00198826,0.00414189,DM,acetate,rel_area_phosphate
0.00744712,-0.00225292,0.00327294,DM,acetate,rel_area_phosphate
0.00744679,-0.0021174,0.00360228,DM,acetate,rel_area_phosphate
0.00739704,-0.00246707,0.00385509,DM,acetate,rel_area_phosphate
0.00723161,0.00215554,0.00371538,DM,acetate,rel_area_phosphate
0.00744002,-0.000718667,0.00377126,DM,acetate,rel_area_phosphate
0.0072627,-0.00123317,0.00500606,DM,acetate,rel_area_phosphate
0.00741399,-0.000749829,0.00366498,DM,acetate,rel_area_phosphate
0.00728567,-0.00108255,0.00347781,DM,acetate,rel_area_phosphate
0.0073917,-0.00217691,0.00515291,DM,acetate,rel_area_phosphate
0.00725816,0.00042468,0.00374036,DM,acetate,rel_area_phosphate
